disease,subtype,code_system,field_or_source,field_description,codes,code_value,match_rule,use_case,evidence_source,evidence_detail,phenotype_url,validation_source,validation_status,notes
Abdominal aortic aneurysm,broad endpoint,self-report operation,20004,Operation code,1104,aortic aneurysm/repair or stent,unclear,procedure-supported endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20004,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,ICD-10,41202,Diagnoses - main ICD10,I71.4,"Abdominal aortic aneurysm, without mention of rupture",exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41202,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,ICD-10,41202,Diagnoses - main ICD10,I71.6,"Thoracoabdominal aortic aneurysm, without mention of rupture",exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41202,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,ICD-10,41202,Diagnoses - main ICD10,I71.9,"Aortic aneurysm of unspecified site, without mention of rupture",exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41202,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,ICD-10,41204,Diagnoses - secondary ICD10,I71.4,"Abdominal aortic aneurysm, without mention of rupture",exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41204,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,ICD-10,41204,Diagnoses - secondary ICD10,I71.6,"Thoracoabdominal aortic aneurysm, without mention of rupture",exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41204,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,ICD-10,41204,Diagnoses - secondary ICD10,I71.9,"Aortic aneurysm of unspecified site, without mention of rupture",exact,incident/prevalent endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41204,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,OPCS4,41200,Operative procedures - main OPCS4,L18,Emergency replacement of aneurysmal segment of aorta,exact,procedure-supported endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41200,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,OPCS4,41200,Operative procedures - main OPCS4,L19,Other replacement of aneurysmal segment of aorta,exact,procedure-supported endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41200,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
Abdominal aortic aneurysm,broad endpoint,OPCS4,41200,Operative procedures - main OPCS4,L20,Other emergency bypass of segment of aorta,exact,procedure-supported endpoint,Pomegranate portal; PMID:40634319; DOI:10.1038/s41598-025-05838-9,A computational framework for defining and validating reproducible phenotyping algorithms of 313 diseases in the UK Biobank,https://pomegranate.denaxaslab.org/phenotype_AAA.html,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41200,verified,Public Pomegranate phenotype definition table; review match rule before prefix-based implementation.
